"Propiedades de la ubicación"
"Nombre de la ubicación = Unnamed"
"Identificación de ubicación = 99b19a22-da0c-4101-883b-8835c7c43bcb"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 12:50:25"
"Duración = 34.21:09:35"
"Lecturas = 1676"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 970485"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1002779"
""
"Propiedades del registro"
"Nombre del registro = Log_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 2"
"Identificación del registro = 6536ec03-c5f3-4c88-8b6f-1b61dd267e56"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 970485",,,"Aqua TROLL 500 1002779",,,,,,,
"Fecha Hora","Temperatura (°C) (970485)","Capacidad de la batería (%) (970485)","Presión barométrica (mm Hg) (970485)","Turbidez (NTU) (1001626)","Fluorescencia de BGA-PE (algas verdiazules-ficoeritrina) (RFU) (1005408)","Fluorescencia de BGA-PC (algas verdiazules-ficocianina) (RFU) (1008102)","Fluorescencia de clorofila-a (RFU) (1005345)","Temperatura (°C) (1002779)","Voltaje externo (V) (1002779)","Presión (psi) (997880)","Profundidad (ft) (997880)"
"2023-03-30 12:50:25","40.87057","99.27557","741.3176","3.139243","0","0.09229305","0","36.91049","15.714","-0.03111744","-0.04950121"
"2023-03-30 13:00:00","39.88387","99.17429","741.3017","3.304126","0","0.01740877","0.0009150612","36.9762","15.705","-0.03618431","-0.05614182"
"2023-03-30 13:30:00","37.59942","98.87574","740.8379","4.791346","0","0.03151516","0","37.35278","15.732","-0.03859806","-0.08903261"
"2023-03-30 14:00:00","26.87432","98.73895","739.9655","0","0","0.6383073","2.085891","16.89783","15.678","1.2959","3.617393"
"2023-03-30 14:30:00","24.49335","98.68792","739.7606","0.4133126","0","0.6046635","2.069665","16.11514","15.705","1.302446","3.632446"
"2023-03-30 15:00:00","24.36465","98.68555","739.7126","0.8582222","0","0.5889321","2.329519","16.09708","15.696","1.307984","3.645262"
"2023-03-30 15:30:00","25.19048","98.68214","739.5112","1.223693","0","0.610109","1.782267","16.3103","15.705","1.308573","3.646577"
"2023-03-30 16:00:00","25.07251","98.68003","739.5189","0.4724905","0","0.6067023","2.017411","16.45901","15.696","1.307661","3.645163"
"2023-03-30 16:30:00","24.65423","98.67661","739.7697","0.4987753","0","0.633996","1.96178","16.50403","15.696","1.308274","3.645829"
"2023-03-30 17:00:00","25.38354","98.67451","739.6038","0.5974477","0","0.5739897","2.226501","16.33972","15.705","1.310663","3.651399"
"2023-03-30 17:30:00","25.98414","98.67109","739.265","0.7206581","0","0.5708925","2.369853","16.38419","15.696","1.314426","3.66008"
"2023-03-30 18:00:00","24.50407","98.66872","739.1393","0.5363784","0","0.5715755","2.359696","16.51968","15.705","1.309793","3.649132"
"2023-03-30 18:30:00","24.57915","98.66504","738.7487","1.288386","0","0.5691848","1.323325","16.53632","15.714","1.314863","3.661134"
"2023-03-30 19:00:00","28.22569","98.66293","738.8966","1.120565","0","0.5365694","1.48606","16.31256","15.714","1.309997","3.649909"
"2023-03-30 19:30:00","22.36978","98.6603","739.035","0.6610039","0","0.6075515","2.973621","16.3165","15.714","1.314866","3.661165"
"2023-03-30 20:00:00","18.64817","98.65688","738.882","1.019537","0","0.4798738","3.318178","16.22681","15.705","1.317001","3.665869"
"2023-03-30 20:30:00","17.09303","98.65478","738.8318","0.4253902","0","0.5036829","4.623698","16.17441","15.696","1.314622","3.660465"
"2023-03-30 21:00:00","15.90255","98.65136","739.1676","0.2822267","0","0.5063232","3.994918","16.28204","15.687","1.319556","3.67196"
"2023-03-30 21:30:00","15.09817","98.64899","739.4496","0.4501092","0","0.5426031","3.865461","16.3588","15.705","1.319866","3.672568"
"2023-03-30 22:00:00","14.40104","98.64557","739.3","0.4475659","0","0.531294","3.553236","16.46793","15.678","1.322031","3.677616"
"2023-03-30 22:30:00","14.03638","98.6432","739.4031","0.5401624","0","0.5483823","3.22498","16.46426","15.696","1.318686","3.669835"
"2023-03-30 23:00:00","13.85405","98.64005","739.4244","1.906358","0","0.4738511","3.771135","16.45688","15.696","1.321815","3.677064"
"2023-03-30 23:30:00","13.60738","98.63794","739.2751","0.3938713","0","0.5160527","3.609107","16.43491","15.705","1.314171","3.65943"
"2023-03-31 00:00:00","13.43578","98.63557","739.092","0.5105725","0","0.5163664","3.566805","16.42679","15.696","1.315107","3.661692"
"2023-03-31 00:30:00","13.3607","98.63242","738.9202","0","0","0.4981324","3.564038","16.39529","15.687","1.317932","3.668213"
"2023-03-31 01:00:00","12.94242","98.63031","738.7758","0.1470522","0","0.5364949","3.19262","16.38116","15.687","1.316775","3.66554"
"2023-03-31 01:30:00","12.8888","98.62689","738.5656","17.34938","0","0.5376235","3.136315","16.37552","15.696","1.315266","3.662021"
"2023-03-31 02:00:00","12.42762","98.62453","738.3925","16.634","0","0.5252714","3.290922","16.37225","15.687","1.319952","3.672765"
