"Propiedades de la ubicación"
"Nombre de la ubicación = Sin nombre"
"Identificación de ubicación = 7df69ec8-72e3-4a21-a514-9c4efcb05c96"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 13:58:22"
"Duración = 34.20:01:38"
"Lecturas = 1675"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 969970"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1003230"
""
"Propiedades del registro"
"Nombre del registro = Registro_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 3"
"Identificación del registro = fbbb46ba-3945-4e73-ad13-7c5844b2b255"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 969970",,,,,,"Aqua TROLL 500 1003230",,,,,,
"Fecha Hora","Latitud (°) (969970)","Longitud (°) (969970)","Elevación (m) (969970)","Temperatura (°C) (969970)","Capacidad de la batería (%) (969970)","Presión barométrica (mm Hg) (969970)","Concentración RDO (mg/L) (1003620)","Nitrato (NO₃⁻ - N) (mg/L) (983048)","pH (pH) (982972)","ORP (mV) (982972)","Conductividad real (µS/cm) (1001986)","Temperatura (°C) (1003230)","Profundidad (ft) (997881)"
"2023-03-30 13:58:22","41.74698","1.844362","278.8","34.65002","99.54099","740.4257","7.176441","","9.261492","364.209","0","27.99511","0.2466641"
"2023-03-30 14:00:00","41.74698","1.844362","278.8","34.97177","99.5131","740.4232","7.182657","","7.144769","146.3373","0","27.94569","0.2422837"
"2023-03-30 14:30:00","41.74711","1.844312","261.4","25.24411","99.44471","739.9245","12.83346","0.1302716","9.045431","184.0098","428.4226","16.36729","2.602096"
"2023-03-30 15:00:00","41.74711","1.844312","261.4","24.93308","99.42971","739.8806","12.99617","0.1795013","9.09249","175.3314","427.1065","16.2959","2.612169"
"2023-03-30 15:30:00","41.7456","1.844227","208.8","25.70528","99.42024","739.6652","13.05956","0.2117593","9.07192","175.2956","429.0651","16.5561","2.598592"
"2023-03-30 16:00:00","41.74689","1.844227","283","25.39426","99.41525","739.6703","13.14242","0.2273752","9.090814","170.3961","430.5815","16.65537","2.59621"
"2023-03-30 16:30:00","41.74702","1.844272","295.6","24.82583","99.40788","739.8817","13.14437","0.2176229","9.069352","171.9506","424.1739","16.56632","2.614487"
"2023-03-30 17:00:00","41.74702","1.844272","295.6","25.65166","99.40446","739.7467","13.04475","0.2150023","9.084492","169.6618","417.7201","16.3951","2.613551"
"2023-03-30 17:30:00","41.74716","1.844278","292.4","26.20937","99.39026","739.4297","13.16749","0.2096075","9.106068","174.6924","417.8864","16.57267","2.60984"
"2023-03-30 18:00:00","41.74733","1.844253","303","24.65423","99.38552","739.3153","13.18639","0.2042611","9.136125","177.2435","414.5787","16.65077","2.611678"
"2023-03-30 18:30:00","41.74715","1.844408","292","24.35393","99.38","738.9023","13.22383","0.2073414","9.150603","166.908","388.9562","16.64774","2.60277"
"2023-03-30 19:00:00","41.74715","1.844258","289.5","26.68127","99.37342","739.0402","13.35014","0.1945361","9.142408","169.1682","386.847","16.55429","2.601156"
"2023-03-30 19:30:00","41.7472","1.844193","291.3","21.66193","99.36869","739.2067","13.39396","0.183588","9.111518","168.0834","404.4171","16.40592","2.610755"
